care.virtue,fairness.virtue,loyalty.virtue,authority.virtue,sanctity.virtue,care.vice,fairness.vice,loyalty.vice,authority.vice,sanctity.vice,moral,moral_nonmoral_ratio,f_var
0.09090909090909091,0.09090909090909091,0.045454545454545456,0.2727272727272727,0.13636363636363635,0.045454545454545456,0.0,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.04943820224719101,0.006336088154269972
0.275,0.0,0.075,0.075,0.025,0.375,0.0,0.0,0.025,0.2,0.075,0.0546448087431694,0.017611111111111116
0.21212121212121213,0.030303030303030304,0.09090909090909091,0.15151515151515152,0.0,0.06060606060606061,0.0,0.0,0.12121212121212122,0.030303030303030304,0.30303030303030304,0.11148648648648649,0.005315784103662891
0.14285714285714285,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.47619047619047616,0.02494061757719715,0.0034265558075081883
0.0,0.0,0.05555555555555555,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.05825242718446602,0.030486968449931415
0.0,0.0,0.23529411764705882,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.06640625,0.037062668204536714
0.2777777777777778,0.2222222222222222,0.16666666666666666,0.08333333333333333,0.05555555555555555,0.1111111111111111,0.0,0.08333333333333333,0.0,0.0,0.05555555555555555,0.08801955990220049,0.00929355281207133
0.08,0.16,0.16,0.0,0.04,0.48,0.04,0.04,0.0,0.0,0.0,0.07936507936507936,0.021422222222222224
0.20689655172413793,0.034482758620689655,0.10344827586206896,0.2413793103448276,0.0,0.10344827586206896,0.1724137931034483,0.034482758620689655,0.0,0.0,0.10344827586206896,0.08787878787878788,0.00824415378517638
0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.027237354085603113,0.01904761904761905
0.45,0.0,0.15,0.25,0.0,0.0,0.05,0.05,0.0,0.0,0.05,0.0380952380952381,0.022472222222222223
0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0275,0.006336088154269974
0.0,0.14285714285714285,0.6666666666666666,0.09523809523809523,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616,0.029411764705882353,0.04283194759385235
0.29411764705882354,0.0,0.058823529411764705,0.5294117647058824,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.034552845528455285,0.030795847750865055
0.14285714285714285,0.14285714285714285,0.09523809523809523,0.23809523809523808,0.0,0.23809523809523808,0.047619047619047616,0.0,0.047619047619047616,0.0,0.047619047619047616,0.05982905982905983,0.00856638951877047
0.2,0.0,0.5,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.02881844380403458,0.025444444444444447
0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.1,0.3,0.03861003861003861,0.01733333333333334
